,Unnamed: 0,Country Name,Counterpart-Area Name,Series Name,Series Code,Year,Value
112,4203,Ghana,China,"CB, bilateral (TDS, current US$)",DT.TDS.BLAT.CB.CD,2020,153286.2
113,4207,Ghana,China,"CB, official creditors (TDS, current US$)",DT.TDS.OFFT.CB.CD,2020,153286.2
114,4210,Ghana,China,"Debt service on external debt, central bank (PPG) (TDS, current US$)",DT.TDS.DECB.CD,2020,153286.2
115,4211,Ghana,China,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,333357730.4
116,4212,Ghana,China,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,333511016.6
117,4216,Ghana,China,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,333511016.6
118,4217,Ghana,China,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,333511016.6
119,4218,Ghana,China,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,333511016.6
120,4219,Ghana,China,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,2020,288332730.4
121,4222,Ghana,China,"GG, commercial banks (TDS, current US$)",DT.TDS.PCBK.GG.CD,2020,45025000.0
122,4225,Ghana,China,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,288332730.4
123,4227,Ghana,China,"GG, private creditors (TDS, current US$)",DT.TDS.PRVT.GG.CD,2020,45025000.0
124,4241,Ghana,China,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,2020,288486016.6
125,4244,Ghana,China,"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,2020,45025000.0
126,4248,Ghana,China,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,288486016.6
127,4250,Ghana,China,"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,2020,45025000.0
128,4260,Ghana,China,"PS, bilateral (TDS, current US$)",DT.TDS.BLAT.PS.CD,2020,288486016.6
129,4263,Ghana,China,"PS, commercial banks (TDS, current US$)",DT.TDS.PCBK.PS.CD,2020,45025000.0
130,4266,Ghana,China,"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,288486016.6
131,4268,Ghana,China,"PS, private creditors (TDS, current US$)",DT.TDS.PRVT.PS.CD,2020,45025000.0
132,5110,Ghana,Czechia,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,369836.5
133,5121,Ghana,Czechia,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,1996432.3
134,5122,Ghana,Czechia,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,1996432.3
135,5126,Ghana,Czechia,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,1996432.3
136,5127,Ghana,Czechia,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,1996432.3
137,5128,Ghana,Czechia,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,1996432.3
138,5129,Ghana,Czechia,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,2020,1996432.3
139,5135,Ghana,Czechia,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,1996432.3
140,5151,Ghana,Czechia,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,2020,1996432.3
141,5158,Ghana,Czechia,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,1996432.3
142,5170,Ghana,Czechia,"PS, bilateral (TDS, current US$)",DT.TDS.BLAT.PS.CD,2020,1996432.3
143,5176,Ghana,Czechia,"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,1996432.3
144,5250,Ghana,Denmark,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,165513.3
145,5261,Ghana,Denmark,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,165513.3
146,5262,Ghana,Denmark,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,165513.3
147,5266,Ghana,Denmark,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,165513.3
148,5267,Ghana,Denmark,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,165513.3
149,5268,Ghana,Denmark,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,165513.3
150,5272,Ghana,Denmark,"GG, commercial banks (TDS, current US$)",DT.TDS.PCBK.GG.CD,2020,165513.3
151,5277,Ghana,Denmark,"GG, private creditors (TDS, current US$)",DT.TDS.PRVT.GG.CD,2020,165513.3
152,5294,Ghana,Denmark,"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,2020,165513.3
153,5300,Ghana,Denmark,"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,2020,165513.3
154,5313,Ghana,Denmark,"PS, commercial banks (TDS, current US$)",DT.TDS.PCBK.PS.CD,2020,165513.3
155,5318,Ghana,Denmark,"PS, private creditors (TDS, current US$)",DT.TDS.PRVT.PS.CD,2020,165513.3
156,5880,Ghana,Economic Community of West African States (ECOWAS),"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,890143.0
157,5891,Ghana,Economic Community of West African States (ECOWAS),"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,2168968.3
158,5892,Ghana,Economic Community of West African States (ECOWAS),"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,2168968.3
159,5896,Ghana,Economic Community of West African States (ECOWAS),"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,2168968.3
160,5897,Ghana,Economic Community of West African States (ECOWAS),"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,2168968.3
161,5898,Ghana,Economic Community of West African States (ECOWAS),"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,2168968.3
162,5903,Ghana,Economic Community of West African States (ECOWAS),"GG, multilateral (TDS, current US$)",DT.TDS.MLAT.GG.CD,2020,2168968.3
163,5905,Ghana,Economic Community of West African States (ECOWAS),"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,2168968.3
164,5909,Ghana,Economic Community of West African States (ECOWAS),"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,2020,2168968.3
165,5928,Ghana,Economic Community of West African States (ECOWAS),"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,2168968.3
166,5944,Ghana,Economic Community of West African States (ECOWAS),"PS, multilateral (TDS, current US$)",DT.TDS.MLAT.PS.CD,2020,2168968.3
167,5946,Ghana,Economic Community of West African States (ECOWAS),"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,2168968.3
168,6020,Ghana,Egypt,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,4004000.0
169,6031,Ghana,Egypt,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,106090000.0
170,6032,Ghana,Egypt,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,106090000.0
171,6036,Ghana,Egypt,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,106090000.0
172,6037,Ghana,Egypt,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,106090000.0
173,6038,Ghana,Egypt,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,106090000.0
174,6039,Ghana,Egypt,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,2020,106090000.0
175,6045,Ghana,Egypt,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,106090000.0
176,6061,Ghana,Egypt,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,2020,106090000.0
